"scenario_id","wetland_grassland","horticulture","cropland","mineral_bare_soil","dense_woodland","open_woodland","grassland","urban","water"
"230",0.210240870714188,0.0210794843733311,0.317421764135361,0.00140836089849472,0.0133309178054333,0.213042870163918,0.22161602973938,0.00185975863132626,0
"231",0.0662518441677094,0.0487371571362019,0.153902843594551,0.033674169331789,0.260428041219711,0.403765469789505,0.0269471202045679,0.000234726816415787,0.00605868501588702
"237",0.346129447221756,0.0446851141750813,0.12894843518734,0.0194316320121288,0.0376809798181057,0.121266186237335,0.258669495582581,0.0431526489555836,3.61118181899656e-05
"238",0.221883311867714,0.0665957480669022,0.10527016222477,0.0308884158730507,0.0608199089765549,0.265713781118393,0.241383880376816,0.00744481710717082,0
"239",0.0990653857588768,0.0716362968087196,0.148315608501434,0.043796718120575,0.114031203091145,0.393586188554764,0.111459605395794,0.0071320841088891,0.0109769189730287
"240",0.15706479549408,0.1043701171875,0.318853318691254,0.013614040799439,0.0401556938886642,0.103585056960583,0.228759482502937,0.033362839370966,0.000234726816415787
"241",0.0160726476460695,0.0861326307058334,0.228504985570908,0.169179812073708,0.209636405110359,0.149615839123726,0.120913848280907,0.0199438538402319,0
"242",0.0494433082640171,0.0615016259253025,0.136770695447922,0.172819539904594,0.193936914205551,0.270303100347519,0.111127287149429,0.00402533635497093,7.22236363799311e-05
"243",0.0283154267817736,0.0714084953069687,0.228578925132751,0.20433409512043,0.127534002065659,0.177492558956146,0.141952827572823,0.0203114673495293,7.22236363799311e-05
"244",0.0945636704564095,0.0391960106790066,0.263139367103577,0.0755413845181465,0.111666135489941,0.218813613057137,0.190257981419563,0.00671354494988918,0.000108335450931918
"245",0.0174328777939081,0.0200654957443476,0.15444378554821,0.23067618906498,0.323728531599045,0.12693578004837,0.121293999254704,0.00359574682079256,0.00182765978388488
"246",0.128411769866943,0.0390562303364277,0.138798922300339,0.0223990809172392,0.341899424791336,0.181350186467171,0.141806960105896,0.00624132947996259,3.61118181899656e-05
"247",0.269331753253937,0.0297742914408445,0.191396668553352,0.0119885867461562,0.0693577602505684,0.248124688863754,0.175677910447121,0.00434836745262146,0
"248",0.333433598279953,0.0703882500529289,0.304603755474091,0.00657563610002398,0.00687766680493951,0.0830787047743797,0.184509783983231,0.010532614775002,0
"249",0.187716424465179,0.0403127409517765,0.380729496479034,0.00344867864623666,0.0423212349414825,0.24569471180439,0.098278172314167,0.0014985715970397,0
"250",0.0275247432291508,0.0346216708421707,0.153797522187233,0.0273100603371859,0.350948691368103,0.344306409358978,0.0351934693753719,0.000433341803727672,0.0258641615509987
"254",0.234490483999252,0.0715543255209923,0.212404787540436,0.0379208438098431,0.0380674377083778,0.284800499677658,0.099275216460228,0.0211140494793653,0.000372391717974097
"255",0.123251743614674,0.0614812709391117,0.148552194237709,0.0537942536175251,0.0956081971526146,0.398706167936325,0.101273894309998,0.0169125497341156,0.000419763528043404
"256",0.16384157538414,0.0339494310319424,0.148381322622299,0.101488888263702,0.076193667948246,0.257599622011185,0.198322400450706,0.00975620839744806,0.0104669313877821
"257",0.0680657401680946,0.118087604641914,0.309213906526566,0.0203986018896103,0.0938326343894005,0.247483372688293,0.13393671810627,0.00898146722465754,0
"258",0.078503429889679,0.0556710250675678,0.286852926015854,0.0542269833385944,0.115787446498871,0.165639758110046,0.223757222294807,0.0195251386612654,3.61118181899656e-05
"259",0.100470297038555,0.118494734168053,0.202454507350922,0.0328821875154972,0.142113119363785,0.241365730762482,0.148196458816528,0.0139868967235088,3.61118181899656e-05
"260",0.0389895625412464,0.029839800670743,0.14724600315094,0.192023158073425,0.226209864020348,0.265286028385162,0.0914508923888206,0.00893666315823793,1.80559090949828e-05
"261",0.0682738348841667,0.0801537036895752,0.214897528290749,0.111816138029099,0.0954814255237579,0.247954547405243,0.164472177624702,0.0168784447014332,7.22236363799311e-05
"264",0.106402948498726,0.00928717572242022,0.184156462550163,0.021104421466589,0.307543754577637,0.265768200159073,0.102443173527718,0.00320362974889576,9.02795436559245e-05
"265",0.237669616937637,0.0499554648995399,0.276604443788528,0.00509396614506841,0.0143880285322666,0.216080248355865,0.194174200296402,0.00578129105269909,0.000252782716415823
"266",0.167233631014824,0.0142287109047174,0.230182111263275,0.00705695198848844,0.0441983789205551,0.323803603649139,0.209451571106911,0.00379093922674656,5.41677254659589e-05
"267",0.150975689291954,0.0243252422660589,0.303590655326843,0.00219963071867824,0.0754862576723099,0.299445152282715,0.14042042195797,0.00355701404623687,0
"272",0.209941953420639,0.0654114261269569,0.193953663110733,0.0256237387657166,0.0432879440486431,0.324741065502167,0.134170800447464,0.00285655213519931,1.29059053506353e-05
"273",0.0847014784812927,0.0723316967487335,0.240169033408165,0.0486725717782974,0.0449677668511868,0.337537586688995,0.137075662612915,0.0329834744334221,0.0015607513487339
"274",0.133937105536461,0.071036271750927,0.111494161188602,0.0665563568472862,0.144816920161247,0.365273296833038,0.0916552245616913,0.00419304938986897,0.0110376691445708
"275",0.0513689033687115,0.0687552616000175,0.231471568346024,0.0438102073967457,0.132080674171448,0.387209802865982,0.0655654445290565,0.0075494172051549,0.0121887503191829
"276",0.115569181740284,0.10896247625351,0.328827232122421,0.0322938449680805,0.0913515388965607,0.0807188600301743,0.223720476031303,0.0185564365237951,0
"277",0.0345489382743835,0.0750260427594185,0.236738443374634,0.040166437625885,0.253500074148178,0.179027244448662,0.166252747178078,0.0147039880976081,3.61118181899656e-05
"278",0.0464351586997509,0.0809649229049683,0.215814352035522,0.0453078076243401,0.19384591281414,0.22060164809227,0.184737220406532,0.0122749730944633,1.80559090949828e-05
"279",0.0473855957388878,0.0814033225178719,0.169473350048065,0.22180101275444,0.132593214511871,0.216209337115288,0.12583726644516,0.00517056323587894,0.000126391358207911
"280",0.0204663332551718,0.0156183997169137,0.160371854901314,0.10873606801033,0.226750314235687,0.338663399219513,0.12100937962532,0.00643596984446049,0.00194829015526921
"281",0.016508037224412,0.0314158722758293,0.191891849040985,0.188916862010956,0.190320864319801,0.224598228931427,0.152010843157768,0.00433747936040163,0
"282",0.128807738423347,0.0739113539457321,0.18346731364727,0.0533999688923359,0.261391758918762,0.16978619992733,0.123781658709049,0.00541793135926127,3.61118181899656e-05
"283",0.160472929477692,0.039944127202034,0.302554756402969,0.00908411480486393,0.036383830010891,0.258557885885239,0.187400609254837,0.0051684589125216,0.000433341803727672
"284",0.1994908452034,0.0154063226655126,0.184510946273804,0.00166114361491054,0.0255328621715307,0.394145965576172,0.178078293800354,0.00117363408207893,0
"285",0.179162666201591,0.0103213023394346,0.179217085242271,0.00153766036964953,0.0801552087068558,0.402052134275436,0.145965069532394,0.0015889200149104,0
"286",0.00504940096288919,0.00388937001116574,0.165193110704422,0.0150016183033586,0.379836171865463,0.31545302271843,0.10755916684866,0.00307251908816397,0.00494568236172199
"290",0.0969367101788521,0.0484649911522865,0.314176172018051,0.034466527402401,0.0216911975294352,0.331481486558914,0.141402572393417,0.0110136549919844,0.000366732128895819
"291",0.102579586207867,0.0461021475493908,0.142159670591354,0.0738731920719147,0.0981638133525848,0.433576285839081,0.088660903275013,0.00979732070118189,0.00508707389235497
"292",0.0789869129657745,0.031561516225338,0.159360781311989,0.057215441018343,0.0821047499775887,0.463427662849426,0.11394876241684,0.00437270710244775,0.00902151968330145
"293",0.0436726287007332,0.0924800112843513,0.298161596059799,0.0669899806380272,0.10558920353651,0.239682212471962,0.14200559258461,0.0114007629454136,1.80559090949828e-05
"294",0.00647430680692196,0.0747828334569931,0.197071611881256,0.136973083019257,0.272004246711731,0.175229921936989,0.119946166872978,0.0174998436123133,1.80559090949828e-05
"296",0.0259114298969507,0.0342356376349926,0.120450809597969,0.260383307933807,0.286711394786835,0.116690121591091,0.14909403026104,0.00650523835793138,1.80559090949828e-05
"297",0.0510342642664909,0.0401199869811535,0.159144386649132,0.0322432592511177,0.203953683376312,0.389902830123901,0.11035194247961,0.00938395783305168,0.00386571232229471
"298",0.0722218453884125,0.0500377714633942,0.137977361679077,0.178416848182678,0.179105401039124,0.22049880027771,0.157124191522598,0.00461783446371555,0
"300",0.209597587585449,0.0105248093605042,0.191580146551132,0.0205269530415535,0.110261097550392,0.352257162332535,0.102816499769688,0.00236259819939733,7.31791442376561e-05
"301",0.261332750320435,0.0220210589468479,0.221493050456047,0.0141222644597292,0.0192436575889587,0.320387989282608,0.137449845671654,0.00394938932731748,0
"302",0.08962482213974,0.00734084285795689,0.218627661466599,0.00751125812530518,0.170555725693703,0.345820844173431,0.15806645154953,0.00230796448886395,0.000144447272759862
"303",0.0833941623568535,0.00754708470776677,0.186631426215172,0.00567470164969563,0.11482135951519,0.367883652448654,0.227100923657417,0.00572537025436759,0.00122136517893523
"308",0.0659361034631729,0.0406357124447823,0.228347361087799,0.0367658361792564,0.0612429715692997,0.441048890352249,0.119106695055962,0.00577789079397917,0.00113853486254811
"309",0.104052044451237,0.119219288229942,0.169205948710442,0.0435033924877644,0.0489659756422043,0.353777647018433,0.143503502011299,0.0111161982640624,0.00665605720132589
"310",0.169323831796646,0.026402810588479,0.104763872921467,0.0533320493996143,0.0651891678571701,0.486298888921738,0.0835838690400124,0.00427184673026204,0.00683371257036924
"311",0.163110896945,0.0831854939460754,0.204400584101677,0.0432535968720913,0.0401162877678871,0.335174053907394,0.123383849859238,0.0073572127148509,1.80559090949828e-05
"312",0.0830965787172318,0.0919138789176941,0.374009132385254,0.069304421544075,0.0586105994880199,0.123225815594196,0.182584702968597,0.0172187648713589,3.61118181899656e-05
"313",0.0416133478283882,0.0529730245471001,0.196012079715729,0.0297853611409664,0.323482751846313,0.155072629451752,0.184579700231552,0.0164450388401747,3.61118181899656e-05
"314",0.00548990396782756,0.0146830128505826,0.176494494080544,0.211395606398582,0.323095053434372,0.106051750481129,0.154713973402977,0.00807624682784081,0
"315",0.00350272096693516,0.0255027897655964,0.204576000571251,0.0830579474568367,0.380954146385193,0.170119881629944,0.120679803192616,0.0101802889257669,0.00142641679849476
"316",0.0373207554221153,0.0623419210314751,0.213389694690704,0.0667480006814003,0.160148575901985,0.233782902359962,0.216311648488045,0.00993849989026785,1.80559090949828e-05
"317",0.257786482572556,0.0391249544918537,0.252670288085938,0.044372234493494,0.0595520660281181,0.134619191288948,0.201606616377831,0.0101959640160203,7.22236363799311e-05
"318",0.116488941013813,0.0210877265781164,0.179930582642555,0.0233647525310516,0.15127620100975,0.319220393896103,0.185362383723259,0.00278252200223505,0.000486554024973884
"319",0.172527670860291,0.0451051145792007,0.288328617811203,0.0566787123680115,0.0836457014083862,0.139242067933083,0.189811423420906,0.0246607288718224,0
"320",0.306460589170456,0.00269743544049561,0.269304066896439,0.00156113575212657,0.00629378948360682,0.212411746382713,0.19994780421257,0.00132345675956458,0
"321",0.0217968765646219,0.0181182995438576,0.162734314799309,0.00295115308836102,0.362796872854233,0.296288192272186,0.133283838629723,0.00172353826928884,0.00030695044551976
"322",0.0070418044924736,0.0152457458898425,0.203234821557999,0.0243512894958258,0.275029301643372,0.29789787530899,0.16690319776535,0.00740156089887023,0.00289440038613975
"326",0.144748821854591,0.0884293541312218,0.144965782761574,0.0167919248342514,0.06447983533144,0.420394271612167,0.109277240931988,0.00675416830927134,0.00415863050147891
"327",0.16575562953949,0.0461341887712479,0.25268018245697,0.0555977672338486,0.0553813874721527,0.260888457298279,0.150655165314674,0.012907269410789,0
"328",0.118286788463593,0.074567511677742,0.199439525604248,0.0347870439291,0.0448830053210258,0.345596164464951,0.176314622163773,0.00590869970619678,0.000216670901863836
"329",0.0938428416848183,0.0737552121281624,0.261842548847198,0.0252223797142506,0.118554823100567,0.241032138466835,0.174172326922417,0.0115597099065781,1.80559090949828e-05
"330",0.0253314599394798,0.0462209843099117,0.303522765636444,0.132578909397125,0.183978617191315,0.119569391012192,0.174681782722473,0.0141161466017365,0
"331",0.013566623441875,0.0260067097842693,0.266664326190948,0.131054401397705,0.197063341736794,0.187737330794334,0.169947981834412,0.00795931741595268,0
"332",0.0386722683906555,0.0096862930804491,0.197808623313904,0.0866330415010452,0.375913798809052,0.161042466759682,0.125960454344749,0.00419282447546721,9.02795436559245e-05
"333",0.0235338117927313,0.0188826955854893,0.174640879034996,0.0949515402317047,0.303308129310608,0.213252022862434,0.16473962366581,0.00663715321570635,5.41677254659589e-05
"334",0.112913377583027,0.0712072178721428,0.19574362039566,0.139452323317528,0.154362216591835,0.141781568527222,0.179447293281555,0.0050924108363688,0
"335",0.122213207185268,0.0546098127961159,0.223903357982635,0.0430847406387329,0.0505126863718033,0.204846650362015,0.295990347862244,0.0048211719840765,1.80559090949828e-05
